mushroomName,edibility,commonName,preferredSearch,season,similarSpecies,description
Lenzites betulina,no,Multicolor Gill Polypore,,,Daedaleopsis confragosa,"Trametes betulina (formerly Lenzites betulina), sometimes known by common names gilled polypore, birch mazegill or multicolor gill polypore, is a species of fungus.
Although it is a member of the Polyporales order, its fruiting bodies have gills instead of pores, which distinguishes it from the superficially similar Trametes versicolor or Trametes hirsutum. Research has shown that it has several medicinal properties, including antioxidant, antimicrobial, antitumor, and immunosuppressive activities."
Armillaria gallica,yes,Honey Mushroom,,,,"Armillaria gallica (synonymous with A. bulbosa and A. lutea) is a species of honey mushroom in the family Physalacriaceae of the order Agaricales. The species is a common and ecologically important wood-decay fungus that can live as a saprobe, or as an opportunistic parasite in weakened tree hosts to cause root or butt rot. It is found in temperate regions of Asia, North America, and Europe. The species forms fruit bodies singly or in groups in soil or rotting wood. The fungus has been inadvertently introduced to South Africa. Armillaria gallica has had a confusing taxonomy, due in part to historical difficulties encountered in distinguishing between similar Armillaria species. The fungus received international attention in the early 1990s when an individual colony living in a Michigan forest was reported to cover an area of 15 hectares (37 acres), weigh at least 9,500 kilograms (21,000 lb), and be 1,500 years old. This individual is popularly known as the ""humungous fungus"", and is a tourist attraction and inspiration for an annual mushroom-themed festival in Crystal Falls.
Armillaria gallica is a largely subterranean fungus, and it produces fruit bodies that are up to about 10 cm (3.9 in) in diameter, yellow-brown, and covered with small scales. On the underside of the caps are gills that are white to creamy or pale orange. The stem may be up to 10 cm (3.9 in) long, with a white cobwebby ring that divides the color of the stem into pale orange to brown above, and lighter-colored below. The fungus can develop an extensive system of underground root-like structures, called rhizomorphs, that help it to efficiently decompose dead wood in temperate broadleaf and mixed forests. It has been the subject of considerable scientific research due to its importance as a plant pathogen, its ability to bioluminesce, its unusual life cycle, and its ability to form large and long-lived colonies."
Chalciporus piperatus,yes*,Peppery Boletus,,"summer, fall",,"Chalciporus piperatus, commonly known as the peppery bolete, is a small pored mushroom of the family Boletaceae found in mixed woodland in Europe and North America. It has been recorded under introduced trees in Brazil, and has become naturalised in Tasmania and spread under native Nothofagus cunninghamii trees. A small bolete, the fruit body has a 1.6–9 cm (0.6–3.5 in) orange-fawn cap with cinnamon to brown pores underneath, and a 4–9.5 cm (1.6–3.7 in) high by 0.6–1.2 cm (0.2–0.5 in) thick stipe. The rare variety hypochryseus, found only in Europe, has yellow pores and tubes.
Described by Pierre Bulliard in 1790 as Boletus piperatus, it is only distantly related to other members of the genus Boletus and was reclassified as Chalciporus piperatus by Frédéric Bataille in 1908. The genus Chalciporus was an early branching lineage in the Boletaceae and appears to be related to boletes with parasitic properties. Previously thought to be ectomycorrhizal (a symbiotic relationship that occurs between a fungus and the roots of various plant species), C. piperatus is now suspected of being parasitic on Amanita muscaria. The flesh of C. piperatus has a very peppery taste, and can be used as a condiment or flavouring."
Hericium coralloides,yes,Bear’s Head Tooth,,,"Hericium abietis, Hericium erinaceus","Hericium coralloides is a saprotrophic fungus, commonly known as the coral tooth fungus. It grows on dead hardwood trees. When young, the fungus is soft and edible, but as it ages the branches and hanging spines become brittle. The Māori name for this species is pekepekekiore."
Pholiota squarrosa,no,Scaly Pholiota,,,,"Pholiota squarrosa, commonly known as the shaggy scalycap, the shaggy Pholiota, or the scaly Pholiota, is a species of mushroom in the Strophariaceae family. Common in North America and Europe, it is often an opportunistic parasite, and has a wide range of hosts among deciduous trees, although it can also infect conifers. It can also live as a saprobe, deriving nutrients from decomposing wood. The mushroom is typically found growing in clusters at the base of trees and stumps. Both the cap and the stem are covered in small, pointed scales that are pointed downward and backward. The crowded gills are yellowish, then later rust-brown. The mushroom has an odor that, depending on the author, has been described as resembling garlic, lemon, radish, onion, or skunk. It has a strong taste, resembling radishes. Once thought to be edible, it is now considered and known to be poisonous, especially if consumed in combination with alcohol. The mushroom contains unique chemicals thought to help it infect plants by neutralizing defensive responses employed by them. The very similar P. squarrosoides differs in having a paler cap that is sticky between the scales, and smaller spores."
Irpex lacteus,no,Milk-White Toothed Polypore,,,,"Irpex lacteus is a common crust fungus distributed throughout temperate areas of the world. It is the type of the genus Irpex. Irpex lacteus is considered a polypore, but depending on growth conditions it can also produce a hydnoid hymenophore. Due to this variability and abundance of the species it has been described as a new species to science numerous times and subsequently has an extensive synonymy. The complete genome sequence of Irpex lacteus was reported in 2017.
Irpex lacteus is a white-rot fungus that inhabits mainly angiosperm branches and trunks. It is one of the most common wood-rotting fungi for instance in urban North America."
Trichaptum biforme,no,Violet Polypore,,,,Trichaptum biforme is a species of poroid fungus in the order Hymenochaetales. It is a saprobe that decomposes hardwood stumps and logs.
Bjerkandera adusta,no,Smoky Polypore,,,,"Bjerkandera adusta, commonly known as the smoky polypore or smoky bracket, is a species of fungus in the family Meruliaceae. It is a plant pathogen that causes white rot in live trees, but most commonly appears on dead wood. It was first described scientifically as Boletus adustus by Carl Ludwig Willdenow in 1787. The genome sequence of Bjerkandera adusta was reported in 2013."
Schizophyllum commune,no,Common Split Gill ,,,,"Schizophyllum commune is a species of fungus in the genus Schizophyllum. The mushroom resembles undulating waves of tightly packed corals or loose chinese fan. ""Gillies"" or Split Gills vary from creamy yellow to pale white in colour. The cap is small, 1-4.5 cm wide with a dense yet spongey body texture. It is known as the split-gill mushroom because of the unique longitudinally divided nature of the gill producing basidospores, which often splits when they dry out and moistened into gills as they shed into spores. It is the only known fungi capable of retracting by movement. This mushroom is found predominantly in Myanmar, Thailand, Malaysia, Indonesia, Madagascar, Nigeria and Northeastern India. It is found in the wild on decaying trees after rainy seasons followed by dry spells where the mushrooms are naturally collected. it is known for its high medicinal value and aromatic taste profile. It has recently attracted the medicinal industry for its immunomodulatory, antifungal, antineoplastic and antiviral activities that are higher than those of any other glucan complex carbohydrate."
Daedalea quercina,no,Maze Bracket ,,,,"Daedalea quercina is a species of mushroom in the order Polyporales, and the type species of the genus Daedalea. Commonly known as the oak mazegill or maze-gill fungus, the specific epithet refers to the oak genus Quercus, upon which it frequently grows, causing a brown rot. It is found in Europe, Asia, Northern Africa and Australasia. Though inedible, it can be used as a natural comb and has been the subject of chemical research."
Phellinus gilvus,no,Annual Shelf Fungus,,,,Phellinus gilvus is a plant pathogen which infects several hosts.
Polyporus alveolaris,no,Diamond Polypore,bing,,,"Polyporus alveolaris, commonly known as the hexagonal-pored polypore, is a species of fungus in the genus Polyporus. It causes a white rot of dead hardwoods. Found on sticks and decaying logs, its distinguishing features are its yellowish to orange scaly cap, and the hexagonal or diamond-shaped pores. It is widely distributed in North America, and also found in Asia, Australia, and Europe."
Polyporus squamosus,no,Dryad’s Saddle,,,,"Polyporus squamosus aka Cerioporus squamosus (yet to be confirmed new taxonomy) is a basidiomycete bracket fungus, with common names including dryad's saddle and pheasant's back mushroom. It has a widespread distribution, being found in North America, Australia, Asia, and Europe, where it causes a white rot in the heartwood of living and dead hardwood trees. The name ""dryad's saddle"" refers to creatures in Greek mythology called dryads who could conceivably fit and ride on this mushroom, whereas the pheasant's back analogy derives from the pattern of colors on the bracket matching that of a pheasant's back."
Pycnoporus cinnabarinus,no,Cinnabar-Red Polypore,,,,"Pycnoporus cinnabarinus, also known as the cinnabar polypore, is a saprophytic, white-rot decomposer. Its fruit body is a bright orange shelf fungus. It is common in many areas and is widely distributed throughout the world."
Trametes versicolor,no,Turkey Tail ,,"summer, fall",Stereum ostrea,"Trametes versicolor – also known as Coriolus versicolor and Polyporus versicolor – is a common polypore mushroom found throughout the world. Meaning 'of several colours', versicolor reliably describes this fungus that displays different colors. For example, because its shape and multiple colors are similar to those of a wild turkey, T. versicolor is commonly called turkey tail.

"
Ischnoderma resinosum,no,Weeping Polypore,,,,"Ischnoderma resinosum is a species of fungus in the family Fomitopsidaceae. Commonly known as the late fall polypore, resinous polypore, or benzoin bracket, this shelf mushroom is 7–25 cm (3–10 in) across, velvety, dark red/brown, aging black. Its spongy but tough, sweet smelling flesh exudes a red liquid when young. This fungus fruits on hardwood logs and stumps in late autumn. A widely distributed species, it has been recorded from Africa, Asia, Europe, and North America.
The species was originally described as Boletus resinosus in 1794 by German botanist Heinrich Schrader It has acquired an extensive synonymy in its taxonomic history, having been juggled between several genera. Petter Karsten transferred it to Ischnoderma in 1879 to give it the name by which it is currently known."
Tremellodendron pallidum,no,Coral-Like Jelly Fungus,,,,
Climacodon septentrionalis,no,Northern Tooth,,,,"Climacodon septentrionalis is a species of polypore fungus in the family Meruliaceae. It is a plant pathogen. Originally named Hydnum septentrionale by Elias Magnus Fries in 1821, it was transferred to the genus Climacodon by Petter Karsten in 1881."
Coprinellus micaceus,yes,Shiny Cap,,,,"Coprinellus micaceus is a common species of fungus in the family Psathyrellaceae with a cosmopolitan distribution. The fruit bodies of the saprobe typically grow in clusters on or near rotting hardwood tree stumps or underground tree roots. Depending on their stage of development, the tawny-brown mushroom caps may range in shape from oval to bell-shaped to convex, and reach diameters up to 3 cm (1.2 in). The caps, marked with fine radial grooves that extend nearly to the center, rest atop whitish stems up to 10 cm (3.9 in) long. In young specimens, the entire cap surface is coated with a fine layer of reflective mica-like cells that provide the inspiration for both the mushroom's species name and the common names mica cap, shiny cap, and glistening inky cap. Although small and with thin flesh, the mushrooms are usually bountiful, as they typically grow in dense clusters. A few hours after collection, the gills will begin to slowly dissolve into a black, inky, spore-laden liquid—an enzymatic process called autodigestion or deliquescence. The fruit bodies are edible before the gills blacken and dissolve, and cooking will stop the autodigestion process.
The microscopic characteristics and cytogenetics of C. micaceus are well known, and it has been used frequently as a model organism to study cell division and meiosis in Basidiomycetes. Chemical analysis of the fruit bodies has revealed the presence of antibacterial and enzyme-inhibiting compounds. Formerly known as Coprinus micaceus, the species was transferred to Coprinellus in 2001 as phylogenetic analyses provided the impetus for a reorganization of the many species formerly grouped together in the genus Coprinus. Based on external appearance, C. micaceus is virtually indistinguishable from C. truncorum, and it has been suggested that many reported collections of the former may be of the latter."
Coprinopsis atramentaria,yes*,Inky Cap,,,,"Coprinopsis atramentaria, commonly known as the common ink cap or inky cap, is an edible (but sometimes poisonous, when combined with alcohol) mushroom found in Europe and North America. Previously known as Coprinus atramentarius, it is the second best known ink cap and previous member of the genus Coprinus after C. comatus. It is a widespread and common fungus found throughout the northern hemisphere. Clumps of mushrooms arise after rain from spring to autumn, commonly in urban and disturbed habitats such as vacant lots and lawns, as well as grassy areas. The grey-brown cap is initially bell-shaped before opening, after which it flattens and disintegrates. The flesh is thin and the taste mild. It can be eaten but is poisonous when consumed with alcohol – hence another common name, tippler's bane."
Morchella esculenta,yes*,sponge morel,,"spring, summer","Gyromitra esculenta, Verpa bohemica, Morchella crassipes, Morchella tomentosa","Morchella esculenta, (commonly known as common morel, morel, yellow morel, true morel, morel mushroom, and sponge morel) is a species of fungus in the Morchellaceae family of the Ascomycota. It is one of the most readily recognized of all the edible mushrooms and highly sought after. Each fruit body begins as a tightly compressed, grayish sponge with lighter ridges, and expands to form a large yellowish sponge with large pits and ridges raised on a large white stem. The pitted yellow-brown caps measure 2–7 cm (0.8–2.8 in) broad by 2–10 cm (0.8–3.9 in) tall, and are fused to the stem at its lower margin, forming a continuous hollow. The pits are rounded and irregularly arranged. The hollow stem is typically 2–9 cm (0.8–3.5 in) long by 2–5 cm (0.8–2.0 in) thick, and white to yellow. The fungus fruits under hardwoods during a short period in the spring, depending on the weather, but it is also associated with old orchards, woods, disturbed grounds and burnt areas. Although a process was reported in 1982 to grow the fruit bodies under controlled conditions, attempts to cultivate the mushroom commercially have only been partially successful."
Suillus americanus,yes,White Pine Bolete,,"summer, fall",Suillus sibiricus,"Suillus americanus is a species of fungus in the Suillaceae family of mushrooms. Commonly known as the chicken fat mushroom, the American slippery Jack (or slipperycap), or the American suillus, it grows in a mycorrhizal association with eastern white pine and can be found where this tree occurs in eastern North America and China. The mushroom can be recognized by the bright yellow cap with red to reddish-brown scales embedded in slime, the large yellow angular pores on the underside of the cap, and the narrow yellow stem marked with dark reddish dots. Molecular phylogenetics analysis suggests that S. americanus may be the same species as S. sibiricus, found in western North America and western and central Asia. Suillus americanus is edible, although opinions vary as to its palatability; some susceptible individuals may suffer a contact dermatitis after touching the fruit bodies. The fruit bodies contain a beta glucan carbohydrate shown in laboratory tests to have anti-inflammatory properties."
Boletus edulis,yes,The King Bolete,,"summer, fall","Boletus aereus, Boletus pinophilus, Boletus reticulatus, Boletus barrowsii, Boletus regineus, Boletus rex-veris","Boletus edulis (English: penny bun, cep, porcino or porcini) is a basidiomycete fungus, and the type species of the genus Boletus. Widely distributed in the Northern Hemisphere across Europe, Asia, and North America, it does not occur naturally in the Southern Hemisphere, although it has been introduced to southern Africa, Australia, and New Zealand. Several closely related European mushrooms formerly thought to be varieties or forms of B. edulis have been shown using molecular phylogenetic analysis to be distinct species, and others previously classed as separate species are conspecific with this species. The western North American species commonly known as the California king bolete (Boletus edulis var. grandedulis) is a large, darker-coloured variant first formally identified in 2007.
The fungus grows in deciduous and coniferous forests and tree plantations, forming symbiotic ectomycorrhizal associations with living trees by enveloping the tree's underground roots with sheaths of fungal tissue. The fungus produces spore-bearing fruit bodies above ground in summer and autumn. The fruit body has a large brown cap which on occasion can reach 35 cm (14 in) in diameter and 3 kg (6.6 lb) in weight. Like other boletes, it has tubes extending downward from the underside of the cap, rather than gills; spores escape at maturity through the tube openings, or pores. The pore surface of the B. edulis fruit body is whitish when young, but ages to a greenish-yellow. The stout stipe, or stem, is white or yellowish in colour, up to 25 cm (10 in) tall and 10 cm (4 in) thick, and partially covered with a raised network pattern, or reticulations.
Prized as an ingredient in various foods, B. edulis is an edible mushroom held in high regard in many cuisines, and is commonly prepared and eaten in soups, pasta, or risotto. The mushroom is low in fat and digestible carbohydrates, and high in protein, vitamins, minerals and dietary fibre. Although it is sold commercially, it is very difficult to cultivate. Available fresh in autumn in Central, Southern and Northern Europe, it is most often dried, packaged and distributed worldwide. It keeps its flavour after drying, and it is then reconstituted and used in cooking. B. edulis is one of the few fungi sold pickled. The fungus also produces a variety of organic compounds with a diverse spectrum of biological activity, including the steroid derivative ergosterol, a sugar binding protein, antiviral compounds, antioxidants, and phytochelatins, which give the organism resistance to toxic heavy metals."
Cortinarius,no*,,,,,"Cortinarius is a genus of mushrooms. It is suspected to be the largest genus of agarics, containing over 2000 different species and found worldwide. A common feature among all species in the genus Cortinarius is that young specimens have a cortina (veil) between the cap and the stem, hence the name, meaning curtained. Most of the fibers of the cortina are ephemeral and will leave no trace once gone, except for limited remnants on the stem in some species. All have a rusty brown spore print. The common names cortinar and webcap refer to members of the genus. Due to dangerous toxicity of several species (such as Cortinarius orellanus) and the fact that it's difficult to distinguish between various species of the genus, non-expert consumption of mushrooms from the genus is discouraged."
Cortinarius delibutus,no,Bluegill Webcap,,,,"Cortinarius delibutus, also known as the bluegill webcap or the yellow webcap, is a basidiomycete fungus of the genus Cortinarius. The fruit bodies are medium-sized, with shiny yellow caps on a sticky, yellow-banded club-shaped stem. The mushroom is found in Europe and North America, usually near birch or beech trees.

"
Hygrophoropsis aurantiaca,no*,False Chanterelle,,"summer, fall","Cantharellus cibarius, Omphalotus illudens","Hygrophoropsis aurantiaca, commonly known as the false chanterelle, is a species of fungus in the family Hygrophoropsidaceae. It is found across several continents, growing in woodland and heathland, and sometimes on woodchips used in gardening and landscaping. Fruit bodies (mushrooms) are yellow–orange with a funnel-shaped cap up to 8 cm (3 1⁄8 in) across that has a felt-like surface. The thin, often forked gills on the underside of the cap run partway down the length of the otherwise smooth stipe. Reports on the mushroom's edibility vary – it can serve as food, though not a particularly flavorful one, or it can be mildly poisonous.
Austrian naturalist Franz Xaver von Wulfen described the false chanterelle in 1781, noting both its resemblance with the true chanterelles and people's propensity to confuse them. The false chanterelle was then placed in the genus Clitocybe, but it was later observed that its forked gills and dextrinoid spores indicated a relationship to Paxillus. Genetic analysis has confirmed that it belongs to the order Boletales and is more closely related to boletes."
Rhizopogon,no*,False Truffles,,,,"Rhizopogon is a genus of ectomycorrhizal Basidiomycetes in the family Rhizopogonaceae. Species form hypogeous sporocarps commonly referred to as ""false truffles"". The general morphological characters of Rhizopogon sporocarps are a simplex or duplex peridium surrounding a loculate gleba that lacks a columnella. Basidiospores are produced upon basidia that are borne within the fungal hymenium that coats the interior surface of gleba locules. The peridium is often adorned with thick mycelial cords, also known as rhizomorphs, that attach the sporocarp to the surrounding substrate. The scientific name Rhizopogon is Greek for 'root' (Rhiz-) 'beard' (-pogon) and this name was given in reference to the rhizomorphs found on sporocarps of many species.
Rhizopogon species are primarily found in ectomycorrhizal association with trees in the family Pinaceae and are especially common symbionts of pine, fir, and Douglas fir trees. Through their ectomycorrhizal relationships Rhizopogon are thought to play an important role in the ecology of coniferous forests. Recent micromorphological and molecular phylogenetic study has established that Rhizopogon is a member of the Boletales, closely related to Suillus."
Hygrocybe conica,no*,Witches Hat,,,,"Hygrocybe conica, commonly known as the witch's hat, conical wax cap or conical slimy cap, is a colourful member of the genus Hygrocybe (the waxcaps), found across northern Europe and North America. Originally described as Hygrophorus conicus, it may be a complex of closely related and similar species."
Fomitopsis pinicola,no,The Red Band Fungus,,,,"Fomitopsis pinicola, is a stem decay fungus. Its conk (fruit body) is known as the red belt conk. The species is common throughout the temperate Northern Hemisphere. It is a decay fungus that serves as a small-scale disturbance agent in coastal rainforest ecosystems. It influences stand structure and succession in temperate rainforests. It performs essential nutrient cycling functions in forests."
Phlebiopsis gigantea,no,Conifer Parchment,,,,
Phaeolus schweinitzii,no,Velvet Top Fungus,,,,"Phaeolus schweinitzii, commonly known as velvet-top fungus, dyer's polypore, or dyer's mazegill, is a fungal plant pathogen that causes butt rot on conifers such as Douglas-fir, spruce, fir, hemlock, pine, and larch. P. schweinitzii is a polypore, although unlike bracket fungi the fruiting body may appear terrestrial when growing from the roots or base of the host tree. The fruiting bodies, appearing in late summer or fall, commonly incorporate blades of grass, twigs, or fallen pine needles as they grow. As these fruiting bodies age, the pore surface turns from yellow to greenish yellow, the top becomes darker, and the flesh becomes harder and more wood-like.
The effect, impact and significance of infection by this fungus is rooted in the fact that it causes brown rot, which degrades the cellulose. Thus there is a loss of tensile strength which often leads to brittle fracture near the stem base, even at a fairly early stage of decay. Decay initiated above ground can lead to branch snap or breakout.
P. schweinitzii is native to North America and Eurasia, and has been identified as an exotic species in New Zealand, Australia, and South Africa.
As its common name suggests, the dyer's polypore is an excellent natural source of green, yellow, gold, or brown dye, depending on the material dyed and the mordant used.
P. schweinitzii is named after Lewis David de Schweinitz, a Pennsylvania-born Moravian minister and important early American mycologist."
Clavariadelphus ligula,no,Club Coral,,,,"Clavariadelphus ligula, commonly known as the strap coral, is an inedible species of fungi in the Gomphaceae family. It produces club-shaped fruit bodies with spongy flesh that grow in groups on the forest floor. It is found in Asia, Europe, and North America."
Armillaria ostoyae,yes,Honey Mushroom,,,,"Armillaria ostoyae (sometimes called Armillaria solidipes) is a species of plant pathogenic fungus in the Physalacriaceae family. It is the most common variant in the western U.S., of the group of species that all used to share the name Armillaria mellea. Armillaria ostoyae is quite common on both hardwood and conifer wood in forests west of the Cascade crest. The mycelium attacks the sapwood and is able to travel great distances under the bark or between trees in the form of black rhizomorphs (""shoestrings"").
In most areas of North America, Armillaria ostoyae can be separated from other species by its physical features. Its brown colors, fairly prominent scales featured on its cap, and the well-developed ring on its stem sets it apart from any Armillaria. (Herink, 1973)
It is known to be one of the largest living organisms, where scientists have estimated a single specimen found in Malheur National Forest in Oregon to be 2,400 years old, covering 3.4 square miles (2,200 acres; 8.8 km2) and colloquially named the ""Humongous Fungus"". Armillaria ostoyae grows and spreads primarily underground and the bulk of the organism lies in the ground, out of sight. Hence, the organism is invisible from the surface. In the autumn this organism blooms ""honey mushrooms"", evidence of the organism beneath. Low competition for land and nutrients have allowed this organism to grow so huge; it possibly covers more geographical area than any other living organism."
Cordyceps ophioglossoides,no,Truffle Eater,,,,"Tolypocladium ophioglossoides, also known by two of its better known synonyms Elaphocordyceps ophioglossoides and Cordyceps ophioglossoides and commonly known as the goldenthread cordyceps, is a species of fungus in the family Ophiocordycipitaceae. It is parasitic on fruit bodies of the truffle-like Elaphomyces. The specific epithet ophioglossoides, derived from Ancient Greek, means ""like a snake's tongue""."
Heterobasidion annosum,no,Conifer-Base Polypore,,,,"Heterobasidion annosum is a basidiomycete fungus in the family Bondarzewiaceae. It is considered to be the most economically important forest pathogen in the Northern Hemisphere. Heterobasidion annosum is widespread in forests in the United States and is responsible for the loss of one billion U.S. dollars annually. This fungus has been known by many different names. Commonly, it is also known as annosum root rot. First described by Fries in 1821, it was known by the name Polyporus annosum. Later, it was found to be linked to conifer disease by Robert Hartig in 1874, and was renamed Fomes annosus by H. Karsten. Its current name of Heterobasidion annosum was given by Brefeld in 1888. Heterobasidion annosum is one of the most destructive diseases of conifers."
Suillus cavipes,yes,Hollow Stem Larch Suillus,,,,Suillus cavipes is an edible species of mushroom in the genus Suillus. It is found in Europe and North America.
Russula brevipes,yes*,Short-Stemmed Russula ,,,,"Russula brevipes is a species of mushroom commonly known as the short-stemmed russula or the stubby brittlegill. It is widespread in North America, and was reported from Pakistan in 2006. The fungus grows in a mycorrhizal association with trees from several genera, including fir, spruce, Douglas-fir, and hemlock. Fruit bodies are white and large, with convex to funnel-shaped caps measuring 7–30 cm (3–12 in) wide set atop a thick stipe up to 8 cm (3 in) long. The gills on the cap underside are closely spaced and sometimes have a faint bluish tint. Spores are roughly spherical, and have a network-like surface dotted with warts.
The mushrooms of Russula brevipes often develop under masses of conifer needles or leaves of broadleaved trees, and fruit from summer to autumn. Forms of the mushroom that develop a bluish band at the top of the stipe are sometimes referred to as variety acrior. Although edible, Russula brevipes mushrooms have a bland or bitter flavor. They become more palatable once parasitized by the ascomycete fungus Hypomyces lactifluorum, a bright orange mold that covers the fruit body and transforms them into lobster mushrooms."
Amanita brunnescens,no,Swamp Death Angel,,,,"Amanita brunnescens, also known as the brown American star-footed Amanita or cleft-footed amanita is a native North American mushroom of the large genus Amanita. Originally presumed to be Amanita phalloides by renowned American mycologist Charles Horton Peck, it was described and named by George F. Atkinson of Cornell University. He named it after the fact that it bruised brown.
It differs from the death cap by its fragile volva and tendency to bruise brown."
Suillus grevillei,yes*,Larch Suillus ,,fall,,"Suillus grevillei (commonly known as Greville's bolete and larch bolete) is a mycorrhizal mushroom with a tight, brilliantly coloured cap, shiny and wet looking with its mucous slime layer. The hymenium easily separates from the flesh of the cap, with a central stalk that is quite slender. The species has a ring or a tight-fitting annular zone."
Gomphidius glutinosus,yes,Tent Stakes ,,,,"Gomphidius glutinosus, commonly known as the slimy spike-cap, is a gilled mushroom found in Europe & North America. Although it has gills, it is a member of the order Boletales, along with the boletes. The fruiting bodies sprout in pine, fir and spruce woodland in Europe in autumn. Initially, are completely covered with a slimy veil, breaking through to reveal a greyish or brownish-capped mushroom with decurrent greyish gills which sometimes resembles a child's top. Opinions differ on the suitability of this mushroom for the table, some guides hold it in high regard, while others view it with caution."
Calvatia gigantea,yes*,Giant Puffball,,"summer, fall","Calvatia booniana, Calvatia cretacea, Calvatia lepidophora, Calvatia polygonia, Scleroderma citrinum","Calvatia gigantea, commonly known as the giant puffball, is a puffball mushroom commonly found in meadows, fields, and deciduous forests usually in late summer and autumn. It is found in temperate areas throughout the world."
Lactarius volemus,no*,Milky Caps ,,,,"Lactifluus volemus, formerly known as Lactarius volemus, is a species of fungus in the family Russulaceae. It is widely distributed in the northern hemisphere, in temperate regions of Europe, North America and Asia as well as some subtropical and tropical regions of Central America and Asia. A mycorrhizal fungus, its fruit bodies grow on the ground at the base of various species of trees from summer to autumn, either individually or in groups. It is valued as an edible mushroom, and is sold in markets in Asia. Several other Lactifluus mushrooms resemble L. volemus, such as the closely related edible species L. corrugis, but these can be distinguished by differences in distribution, visible morphology, and microscopic characteristics. L. volemus produces a white spore print and has roughly spherical spores about 7–8 micrometres in diameter.
The colour of the L. volemus mushroom varies from apricot to tawny, and the cap may be up to 11 cm (​4 1⁄2 in) wide. The pale golden yellow gills on the underside of the cap are closely spaced and sometimes forked. One of the mushroom's most distinctive features is the large amount of latex (""milk"") that it exudes when the gills are damaged, leading to the common names weeping milk cap and voluminous-latex milky. It also has a distinctive fishy smell, which does not affect the taste. The fruit bodies have been chemically analysed and found to contain several sterols related to ergosterol, some of which are unique to this species. The mushroom also contains a natural rubber that has been chemically characterized. Phylogenetic analysis suggests that Lactifluus volemus represents several species or subspecies, rather than a single taxon."
Russula emetica,no*,Emetic Russula,,,,"Russula emetica, commonly known as the sickener, emetic russula, or vomiting russula, is a basidiomycete mushroom, and the type species of the genus Russula. It has a red, convex to flat cap up to 8.5 cm (3.3 in) in diameter, with a cuticle that can be peeled off almost to the centre. The gills are white to pale cream, and closely spaced. A smooth white stem measures up to 10.5 cm (4.1 in) long and 2.4 cm (0.9 in) thick. First described in 1774, the mushroom has a wide distribution in the Northern Hemisphere, where it grows on the ground in damp woodlands in a mycorrhizal association with conifers, especially pine.
The mushroom's common names refer to the gastrointestinal distress they cause when consumed raw. The flesh is extremely peppery, but this offensive taste, along with its toxicity, can be removed by parboiling or pickling. Although it used to be widely eaten in Russia and eastern European countries, it is generally not recommended for consumption. There are many similar Russula species that have a red cap with white stem and gills, some of which can be reliably distinguished from R. emetica only by microscopic characteristics."
Gloeophyllum sepiarium,no,Yellow-Red Gill Polypore,,,,"Gloeophyllum sepiarium (Rusty gilled polypore) is a wood decay fungus that causes a brown rot. Gloeophyllum sepiarium grows in thin, dark brown/green brackets on dead conifers. Often found on wood in lumberyards, the fruiting body grows for only one year, and produces spores in late summer and autumn. Its hymenial surface is distinctive from other polypores due to the presence of gills. Gloeophyllum sepiarium is inedible."
Onnia tomentosa,no,Hairy Cushion ,,,,"Onnia tomentosa is a species of fungus in the family Hymenochaetaceae commonly known as the woolly velvet polypore. It is frequently found in coniferous forests at higher altitudes, often growing in large groups, rather rare at lower altitudes. It is a plant pathogen, and causes tomentosus root rot, primarily in spruce. It was formerly known as Inonotus tomentosum (Fr.) Teng until molecular phylogenetic analysis led to major revisions in the classification of the Hymenochaetaceae."
Clavicorona pyxidata,yes,Coral Fungus ,,,,"Artomyces pyxidatus is a coral fungus that is commonly called crown coral or crown-tipped coral fungus. Its most characteristic feature is the crown-like shape of the tips of its branches. The epithet pyxidatus means ""box-like""—a reference to this shape.
Artomyces pyxidatus can be observed throughout Northern Canada during the growing season. In Britain, it was recorded in 2011, almost 116 years after its previous reliable report, a collection made by mycologist Carleton Reale on 20 October 1886. In addition, the cartographer Michael Willson mapped out a location where he could see mystical creatures eating the fungus, causing them to glow. He thus proposed the diea that when eaten, humans, too, can glow. It is widespread but uncommon in Western Europe. The fungus produces its hard, coral-like fruiting bodies on growing wood. Basidia and basidiospores are produced on the surfaces of the branches. These fungi are considered edible when raw, although some people may experience gastrointestinal upset, especially after eating a large quantity. The raw fruiting bodies have a peppery taste that usually disappears when cooked.
The sesquiterpenes compounds pyxidatols A-C, tsuicoline E and omphadiol have been obtained from the liquid culture of this fungus.

"
Cordyceps militaris,no**,SOLDIER GRAINY CLUB ,,,,"Cordyceps militaris is a species of fungus in the family Clavicipitaceae, and the type species of the genus Cordyceps. It was originally described by Carl Linnaeus in 1753 as Clavaria militaris."
Hypomyces lactifluorum,no*,ORANGE MUSHROOM PIMPLE,,,,"The Lobster mushroom, Hypomyces lactifluorum, contrary to its common name, is not a mushroom, but rather a parasitic ascomycete fungus that grows on certain species of mushrooms, turning them a reddish orange color that resembles the outer shell of a cooked lobster. H. lactifluorum specifically attacks members of the genera Lactarius and Lactifluus (milk-caps), and Russula (brittlegills), such as Russula brevipes and Lactifluus piperatus in North America. At maturity, H. lactifluorum thoroughly covers its host, rendering it unidentifiable. Lobster mushrooms are widely eaten and enjoyed; they are commercially marketed and are commonly found in some large grocery stores. They have a seafood-like flavor and a firm, dense texture."
